City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Rexburg,US,73.38,clear sky,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
490,Porto Nacional,BR,76.42,broken clouds,-10.7081,-48.4172,Vila Real Hotel
491,Tautira,PF,81.25,light rain,-17.7333,-149.15,Pension Oaoa
492,North Bend,US,70.25,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
494,Virginia Beach,US,77.02,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
495,Safaga,EG,79.81,overcast clouds,26.7292,33.9365,Lamar Resort Abu Soma
505,Kapoeta,SS,74.97,few clouds,4.7717,33.5903,Eastgate Hotel
506,Lufilufi,WS,79.79,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
507,San Quintin,MX,65.44,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
510,Black River,JM,79.65,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
515,Jacareacanga,BR,74.32,moderate rain,-6.2222,-57.7528,Casa do Ian😎
516,Saint Pete Beach,US,79.11,few clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
517,Isangel,VU,79.39,scattered clouds,-19.55,169.2667,Tanna Lodge
521,Canon City,US,78.96,clear sky,38.441,-105.2424,Travel Inn Motel
524,Valley City,US,66.72,clear sky,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
525,Benicarlo,ES,74.89,overcast clouds,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
526,Vidalia,US,78.91,clear sky,32.2177,-82.4135,Quality Inn & Suites
530,Broome,US,68.02,few clouds,42.2506,-75.833,Chenango Valley State Park
531,Imbituba,BR,68.86,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
536,Roma,US,70.09,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
538,Sidney,AU,73.31,few clouds,-33.8679,151.2073,The Grace Sydney
540,Jose De Freitas,BR,75.07,overcast clouds,-4.7564,-42.5756,É Antônio de Souza construção
544,Phan Thiet,VN,83.28,overcast clouds,10.9333,108.1,Hotel Saigon-PT
545,Naron,ES,65.59,overcast clouds,43.5167,-8.1528,Marcial
547,Nara,JP,68.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
548,Maceio,BR,74.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
550,Niquelandia,BR,77.07,broken clouds,-14.4739,-48.4597,Hotel Suinã
555,Flinders,AU,73.06,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
557,Belmonte,BR,75.33,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
560,Sabzevar,IR,67.14,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
564,Waingapu,ID,82.83,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
567,Wukari,NG,78.85,overcast clouds,7.85,9.7833,Elimtop
568,Princeton,US,82.0,few clouds,25.5384,-80.4089,American Best Inn
569,Oak Ridge,US,73.71,few clouds,36.0104,-84.2696,DoubleTree by Hilton Hotel Oak Ridge - Knoxville
571,Ponta Delgada,PT,65.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
574,Byron Bay,AU,77.7,clear sky,-28.65,153.6167,Backpackers Inn
577,Juquia,BR,65.57,clear sky,-24.3208,-47.6347,Casa Quero Verde
579,Chaohu,CN,69.71,few clouds,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
580,Manadhoo,MV,79.68,moderate rain,5.7667,73.3833,Bon Abri maldives
581,Oussouye,SN,75.88,few clouds,12.485,-16.5469,Auberge du Routard
582,Le Port,RE,71.56,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
584,Waterford,US,72.95,overcast clouds,42.7023,-83.4027,Olde Mill Inn-Clarkston
586,Singleton,AU,70.29,clear sky,-32.5667,151.1833,Quest Singleton
587,Champerico,GT,84.81,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
589,Samarinda,ID,83.7,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
591,Puerto Colombia,CO,81.55,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
592,Indianola,US,67.8,broken clouds,41.3581,-93.5574,Quality Inn Indianola
596,Santa Cruz De Tenerife,ES,67.62,clear sky,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
597,Guarapari,BR,70.81,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
598,Nicoya,CR,80.91,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
601,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
606,Poindimie,NC,76.3,overcast clouds,-20.9333,165.3333,hotel de la plage
607,Talara,PE,66.22,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
608,Cap Malheureux,MU,71.47,heavy intensity rain,-19.9842,57.6142,Pereybere Hotel & Spa
609,Seymour,US,75.38,overcast clouds,38.9592,-85.8903,Fairfield Inn & Suites by Marriott Seymour
610,Whitianga,NZ,65.48,light rain,-36.8333,175.7,Beachside Resort Whitianga
611,Acarau,BR,77.34,broken clouds,-2.8856,-40.12,castelo pizzaria
612,Zionsville,US,73.38,clear sky,39.9509,-86.2619,Embassy Suites by Hilton Indianapolis North
613,Salvador,SV,77.4,overcast clouds,13.8333,-88.9167,Chico's Ranch
615,Gambela,ET,71.87,moderate rain,8.25,34.5833,Solomon Debebe Hotel
618,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
620,Bumba,CD,70.77,overcast clouds,2.1833,22.4667,Père Carlos
621,Nha Trang,VN,82.4,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
624,Takoradi,GH,79.93,light rain,4.8845,-1.7554,Raybow International Hotel
627,Tamiahua,MX,79.32,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
630,Oeiras Do Para,BR,75.45,light rain,-2.0031,-49.8544,Araticu Soft Hotel
636,Ajdabiya,LY,65.89,clear sky,30.7554,20.2263,Almadina Hotel
639,Turbat,PK,83.7,clear sky,26.0023,63.044,Mubashar Quarters
650,Mersing,MY,81.81,scattered clouds,2.4312,103.8405,Timotel Hotel
653,Kizukuri,JP,65.1,overcast clouds,40.8061,140.3861,Kashiwa Roman-sō
656,Salinas,US,77.0,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
657,Borba,BR,75.4,heavy intensity rain,-4.3878,-59.5939,Hotel da Amazônia
661,Simplicio Mendes,BR,77.31,overcast clouds,-7.8539,-41.9103,Fidalgo
662,Arlit,NE,79.95,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
670,Lazaro Cardenas,MX,81.23,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
671,Pimenta Bueno,BR,75.47,broken clouds,-11.6725,-61.1936,Cristalina Palace Hotel
672,Dakar,SN,77.88,broken clouds,14.6937,-17.4441,Novotel Dakar
675,Potiskum,NG,83.64,scattered clouds,11.7091,11.0694,Tamir Hotel Ltd
