City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Yellowknife,CA,2022-05-15 04:34:02,62.456,-114.3525,48.72,53,75,11.5
218,Dunedin,NZ,2022-05-15 04:36:19,-45.8742,170.5036,48.79,90,71,4.0
219,Nishihara,JP,2022-05-15 04:36:37,26.1842,127.7558,71.26,92,75,26.46
220,Sri Aman,MY,2022-05-15 04:36:37,1.2376,111.4621,91.45,70,40,2.3
221,Gamba,GA,2022-05-15 04:36:13,-2.65,10.0,76.42,94,94,5.37
222,Usinsk,RU,2022-05-15 04:36:38,65.9939,57.5281,53.78,59,2,11.14
223,Mbandaka,CD,2022-05-15 04:36:38,0.0487,18.2603,70.23,97,88,0.85
224,Sarkand,KZ,2022-05-15 04:36:39,45.41,79.9186,57.83,84,100,6.73
225,Altay,CN,2022-05-15 04:36:39,47.8667,88.1167,72.34,21,78,4.36
226,Nikolayevsk-Na-Amure,RU,2022-05-15 04:36:39,53.1406,140.73,35.51,100,100,11.41
227,Deputatskiy,RU,2022-05-15 04:36:40,69.3,139.9,21.36,84,100,11.18
228,Beringovskiy,RU,2022-05-15 04:36:40,63.05,179.3167,43.99,73,100,14.47
229,Tocopilla,CL,2022-05-15 04:37:18,-22.092,-70.1979,62.4,69,4,3.13
230,Kabanjahe,ID,2022-05-15 04:37:40,3.1001,98.4908,74.7,82,100,2.13
231,Baykit,RU,2022-05-15 04:37:41,61.67,96.37,69.53,40,99,1.7
232,Mehamn,NO,2022-05-15 04:37:41,71.0357,27.8492,37.31,86,100,6.38
233,Gazojak,TM,2022-05-15 04:37:41,41.1875,61.4036,77.41,20,2,11.7
234,Bamiantong,CN,2022-05-15 04:37:42,44.9333,130.5333,62.29,38,62,23.04
235,Nuuk,GL,2022-05-15 04:36:37,64.1835,-51.7216,23.61,86,75,4.61
236,Shimoda,JP,2022-05-15 04:37:06,34.6667,138.95,70.16,76,89,12.64
237,Stepnogorsk,KZ,2022-05-15 04:37:42,52.3544,71.8869,66.92,41,39,15.93
238,Pochutla,MX,2022-05-15 04:37:43,15.7432,-96.4661,81.82,71,79,4.85
