City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Merauke,ID,-8.4667,140.3333,83.16,56,6,4.34,clear sky
153,Middle Island,US,40.8843,-72.9373,66.31,88,100,6.91,mist
154,Zalantun,CN,48.0,122.7167,59.99,27,6,13.73,clear sky
155,Teya,RU,60.3778,92.6267,58.68,67,100,4.27,overcast clouds
156,Awbari,LY,26.5921,12.7805,70.11,17,0,4.92,clear sky
157,Ust-Tsilma,RU,65.441,52.1498,37.71,89,100,6.51,overcast clouds
158,Victoria,HK,22.2855,114.1577,68.38,87,100,8.99,overcast clouds
159,Chuy,UY,-33.6971,-53.4616,46.92,70,0,7.87,clear sky
160,Taybad,IR,34.74,60.7756,63.0,30,0,4.79,clear sky
161,Hemsedal,NO,60.8629,8.5534,35.37,90,99,5.23,overcast clouds
162,Severo-Kurilsk,RU,50.6789,156.125,36.64,98,100,14.32,light rain
163,Clyde River,CA,70.4692,-68.5914,25.03,86,100,5.75,overcast clouds
164,Pevek,RU,69.7008,170.3133,27.97,79,98,3.96,overcast clouds
165,Bocaiuva,BR,-17.1078,-43.815,73.11,59,76,1.45,broken clouds
166,Lorengau,PG,-2.0226,147.2712,84.6,62,100,4.43,overcast clouds
167,Santa Catalina,PH,9.3337,122.8637,85.98,70,100,0.87,overcast clouds
168,Kindu,CD,-2.95,25.95,69.06,95,6,1.83,light rain
169,Vila Velha,BR,-20.3297,-40.2925,75.15,73,40,8.05,scattered clouds
170,Biak,ID,-0.9131,122.8766,82.74,73,38,1.66,scattered clouds
171,Abnub,EG,27.2696,31.1511,73.62,36,100,17.05,overcast clouds
172,Aripuana,BR,-9.1667,-60.6333,75.33,93,91,1.39,overcast clouds
173,Neubrandenburg,DE,53.5667,13.2667,46.22,89,100,4.29,overcast clouds
174,Huesca,ES,42.1362,-0.4087,61.48,71,0,3.44,clear sky
175,Bairiki,KI,1.3292,172.9752,86.0,70,40,9.22,scattered clouds
176,Kirakira,SB,-10.4544,161.9205,83.53,75,26,2.44,scattered clouds
177,Cabo San Lucas,MX,22.8909,-109.9124,88.18,47,94,14.27,overcast clouds
178,Praia,CV,14.9215,-23.5087,81.14,44,0,23.02,clear sky
179,Codrington,AU,-38.2667,141.9667,55.17,68,95,14.47,overcast clouds
180,Bundaberg,AU,-24.85,152.35,77.29,83,75,4.61,broken clouds
181,Trairi,BR,-3.2778,-39.2689,76.96,91,100,7.29,overcast clouds
182,Ixtapa,MX,20.7,-105.2,80.22,69,48,3.0,scattered clouds
183,Erenhot,CN,43.6475,111.9767,62.4,16,62,17.2,broken clouds
184,Sidi Ali,DZ,36.0998,0.4206,64.18,79,18,5.95,few clouds
185,Saint-Leu,RE,-21.15,55.2833,70.63,73,0,12.08,clear sky
186,Sol-Iletsk,RU,51.1631,54.9918,47.61,96,17,8.46,few clouds
187,Vilyuysk,RU,63.7553,121.6247,37.8,42,100,11.61,overcast clouds
188,Mount Gambier,AU,-37.8333,140.7667,56.66,57,96,11.81,light rain
189,Haines Junction,CA,60.7522,-137.5108,48.15,46,100,3.44,overcast clouds
190,Vila,PT,42.0304,-8.1588,49.69,89,100,6.35,overcast clouds
191,Cherskiy,RU,68.75,161.3,33.94,85,100,8.03,overcast clouds
192,Villa Carlos Paz,AR,-31.4241,-64.4978,47.82,50,6,1.99,clear sky
193,Mehamn,NO,71.0357,27.8492,37.31,85,100,11.12,overcast clouds
194,Rio Grande,BR,-32.035,-52.0986,50.95,73,5,11.43,clear sky
195,Saint George,US,37.1041,-113.5841,94.62,4,100,8.01,overcast clouds
196,Hobyo,SO,5.3505,48.5268,79.47,81,3,24.4,clear sky
197,Sorland,NO,67.667,12.6934,39.06,74,100,22.39,overcast clouds
198,Sangin,AF,32.0728,64.8359,69.58,24,0,4.76,clear sky
199,Jatara,IN,25.0167,79.05,95.45,18,92,17.67,overcast clouds
200,Karratha,AU,-20.7377,116.8463,78.31,30,9,18.9,clear sky
201,Ketchikan,US,55.3422,-131.6461,48.18,94,100,4.36,moderate rain
202,Talca,CL,-35.4333,-71.6667,54.79,51,100,3.11,overcast clouds
203,Karwar,IN,14.8,74.1333,81.61,83,100,10.4,overcast clouds
204,West Kilbride,GB,55.6833,-4.85,52.83,88,100,1.99,overcast clouds
205,Koidu,SL,8.4167,-10.8333,74.07,99,96,2.15,overcast clouds
206,Stornoway,GB,58.2093,-6.3865,53.56,80,100,12.66,overcast clouds
207,Klaksvik,FO,62.2266,-6.589,45.52,97,80,11.23,broken clouds
208,Acapulco,MX,16.8634,-99.8901,83.35,67,22,10.51,few clouds
209,Oranjestad,AW,12.524,-70.027,82.35,74,20,23.02,few clouds
210,Inirida,CO,3.8653,-67.9239,75.58,94,100,0.43,light rain
211,Monrovia,LR,6.3005,-10.7969,78.57,86,100,9.82,overcast clouds
212,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,85,40,5.75,scattered clouds
